Key	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Sample_submission_date	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""	"""Aug 12 2016"""
Sample_last_update_date	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""	"""Jun 09 2017"""
Sample_type	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""	"""RNA"""
Sample_channel_count	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""	"""1"""
Sample_source_name_ch1	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""	"""immature dendritic cells"""
Sample_organism_ch1	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""	"""Homo sapiens"""
Sample_characteristics_ch1	"""donor: M5137"""	"""donor: M5137"""	"""donor: M5137"""	"""donor: M5137"""	"""donor: M5137"""	"""donor: M5137"""	"""donor: M5772"""	"""donor: M5772"""	"""donor: M5772"""	"""donor: M5772"""	"""donor: M5772"""	"""donor: M5772"""	"""donor: M6801"""	"""donor: M6801"""	"""donor: M6801"""	"""donor: M6801"""	"""donor: M6801"""	"""donor: M6801"""	"""donor: M6807"""	"""donor: M6807"""	"""donor: M6807"""	"""donor: M6807"""	"""donor: M6807"""	"""donor: M6807"""	"""donor: M7015"""	"""donor: M7015"""	"""donor: M7015"""	"""donor: M7015"""	"""donor: M7015"""	"""donor: M7015"""
Sample_characteristics_ch1	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""	"""cell type: immature dendritic cells (iDC)"""
Sample_characteristics_ch1	"""treatment: vehicle"""	"""treatment: sCD40L"""	"""treatment: vehicle"""	"""treatment: sCD40L"""	"""treatment: vehicle"""	"""treatment: sCD40L"""	"""treatment: vehicle"""	"""treatment: sCD40L"""	"""treatment: vehicle"""	"""treatment: sCD40L"""	"""treatment: vehicle"""	"""treatment: sCD40L"""	"""treatment: vehicle"""	"""treatment: sCD40L"""	"""treatment: vehicle"""	"""treatment: sCD40L"""	"""treatment: vehicle"""	"""treatment: sCD40L"""	"""treatment: vehicle"""	"""treatment: sCD40L"""	"""treatment: vehicle"""	"""treatment: sCD40L"""	"""treatment: vehicle"""	"""treatment: sCD40L"""	"""treatment: vehicle"""	"""treatment: sCD40L"""	"""treatment: vehicle"""	"""treatment: sCD40L"""	"""treatment: vehicle"""	"""treatment: sCD40L"""
Sample_characteristics_ch1	"""treatment time: 1h"""	"""treatment time: 1h"""	"""treatment time: 3h"""	"""treatment time: 3h"""	"""treatment time: 24h"""	"""treatment time: 24h"""	"""treatment time: 1h"""	"""treatment time: 1h"""	"""treatment time: 3h"""	"""treatment time: 3h"""	"""treatment time: 24h"""	"""treatment time: 24h"""	"""treatment time: 1h"""	"""treatment time: 1h"""	"""treatment time: 3h"""	"""treatment time: 3h"""	"""treatment time: 24h"""	"""treatment time: 24h"""	"""treatment time: 1h"""	"""treatment time: 1h"""	"""treatment time: 3h"""	"""treatment time: 3h"""	"""treatment time: 24h"""	"""treatment time: 24h"""	"""treatment time: 1h"""	"""treatment time: 1h"""	"""treatment time: 3h"""	"""treatment time: 3h"""	"""treatment time: 24h"""	"""treatment time: 24h"""
Sample_treatment_protocol_ch1	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""	"""On day 7, cells were stimulated with recombinant CD40L (1µg/ml, R&D systems, CAT#6420-CL-025) at 3x10^4 cells/well in 96-well plates for 1, 3 or 24hr before harvest for RNA extract."""
Sample_growth_protocol_ch1	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""	"""Monocytes from healthy donor peripheral blood were purified and cultured in complete RPMI media with 50ng/ml GM-CSF and 50ng/ml IL4 for 3 days; fresh media was added and culture continued until day 6."""
Sample_molecule_ch1	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""	"""total RNA"""
Sample_extract_protocol_ch1	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""	"""RNA was extracted from cell cultures with the Qiagen RNeasy Kit in 96-well plates."""
Sample_label_ch1	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""	"""biotin"""
